 ,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,link24,link25,link26,link27,link28,link29,link30,link31,link32,link33,link34,link35,link36,link37,link38,link39,link40,link41,link42,link43,link44,link45,link46,link47,link48,link49,link50,link51,link52,link53,link54,link55,link56,link57,link58,link59,link60,link61,link62,link63,link64,link65,link66,link67,link68,link69,link70,link71,link72,link73,link74,link75,link76
12,  0.006271,  0.006619,  0.006271,  0.009284,  0.006619,  0.013067,  0.008951,  0.012379,  0.008712,  0.012747,  0.008712,  0.014328,  0.013824,  0.009284,  0.014328,  0.009167,  0.007228,  0.006970,  0.009167,  0.007228,  0.003772,  0.020233,  0.013824,  0.003772,  0.014614,  0.014712,  0.030040,  0.020978,  0.050617,  0.018823,  0.011901,  0.026026,  0.014751,  0.019559,  0.009623,  0.014751,  0.010765,  0.011371,  0.014756,  0.016130,  0.010955,  0.011757,  0.025438,  0.010101,  0.017572,  0.020598,  0.020233,  0.050978,  0.010895,  0.011411,  0.018823,  0.010894,  0.012976,  0.006970,  0.011504,  0.013706,  0.017573,  0.012976,  0.005580,  0.013706,  0.005580,  0.007668,  0.007495,  0.007491,  0.008151,  0.013151,  0.022129,  0.007495,  0.008486,  0.009824,  0.009174,  0.012428,  0.003058,  0.015459,  0.012536,  0.003058
13,  0.006107,  0.006445,  0.006107,  0.009043,  0.006445,  0.010729,  0.009375,  0.012734,  0.007835,  0.011417,  0.008488,  0.013963,  0.011795,  0.009043,  0.013963,  0.008929,  0.007039,  0.006787,  0.008929,  0.007039,  0.003673,  0.019722,  0.013480,  0.003673,  0.014236,  0.015361,  0.025718,  0.024606,  0.075614,  0.000000,  0.012600,  0.030819,  0.014359,  0.015713,  0.007416,  0.016435,  0.010985,  0.010580,  0.015063,  0.019079,  0.009841,  0.008931,  0.020627,  0.010665,  0.017124,  0.021593,  0.019722,  0.075989,  0.015464,  0.011115,  0.000000,  0.015464,  0.012645,  0.006787,  0.011206,  0.013355,  0.017125,  0.012645,  0.005433,  0.013355,  0.005433,  0.007468,  0.007299,  0.007296,  0.008264,  0.012310,  0.020062,  0.007299,  0.007940,  0.012117,  0.011466,  0.009561,  0.002978,  0.014385,  0.012719,  0.002978
14,  0.006142,  0.006482,  0.006142,  0.009096,  0.006482,  0.012810,  0.007461,  0.010796,  0.008536,  0.012496,  0.007882,  0.014051,  0.013558,  0.009096,  0.014051,  0.008981,  0.007080,  0.006826,  0.008981,  0.007080,  0.003694,  0.019847,  0.011875,  0.003694,  0.015354,  0.014425,  0.031378,  0.024603,  0.069516,  0.000000,  0.011667,  0.025560,  0.016522,  0.019192,  0.009428,  0.014453,  0.010550,  0.011144,  0.014472,  0.015823,  0.010731,  0.011528,  0.028983,  0.009894,  0.019164,  0.020208,  0.019847,  0.069889,  0.014323,  0.011181,  0.000000,  0.014323,  0.011479,  0.006826,  0.011273,  0.013437,  0.019165,  0.011479,  0.005465,  0.013437,  0.005465,  0.007511,  0.007342,  0.007338,  0.007985,  0.012893,  0.021715,  0.007342,  0.008314,  0.009625,  0.008993,  0.012180,  0.002994,  0.015162,  0.012290,  0.002994
15,  0.006260,  0.006608,  0.006260,  0.009272,  0.006608,  0.011006,  0.009613,  0.013064,  0.008034,  0.011712,  0.008703,  0.014329,  0.012104,  0.009272,  0.014329,  0.009155,  0.007217,  0.006958,  0.009155,  0.007217,  0.003765,  0.020241,  0.013833,  0.003765,  0.014606,  0.015761,  0.026429,  0.025299,  0.050714,  0.018815,  0.012927,  0.031671,  0.014726,  0.016130,  0.007604,  0.016855,  0.011267,  0.010851,  0.015459,  0.019586,  0.010089,  0.009163,  0.021208,  0.010935,  0.017589,  0.022167,  0.020241,  0.051077,  0.010884,  0.011399,  0.018815,  0.010884,  0.012965,  0.006958,  0.011492,  0.013701,  0.017590,  0.012965,  0.005570,  0.013701,  0.005570,  0.007657,  0.007484,  0.007480,  0.008474,  0.012630,  0.020596,  0.007484,  0.008141,  0.012426,  0.011764,  0.009805,  0.003052,  0.014763,  0.013049,  0.003052
16,  0.006096,  0.006434,  0.006096,  0.009031,  0.006434,  0.012724,  0.007407,  0.010723,  0.008475,  0.012412,  0.007826,  0.013960,  0.013471,  0.009031,  0.013960,  0.008916,  0.007028,  0.006776,  0.008916,  0.007028,  0.003666,  0.019724,  0.011798,  0.003666,  0.015255,  0.014330,  0.031226,  0.020468,  0.075777,  0.000000,  0.011589,  0.025427,  0.016408,  0.019077,  0.009361,  0.014352,  0.010477,  0.011067,  0.014380,  0.015725,  0.010653,  0.011452,  0.024838,  0.009822,  0.017136,  0.020086,  0.019724,  0.076155,  0.015454,  0.011102,  0.000000,  0.015453,  0.012632,  0.006776,  0.011194,  0.013347,  0.017136,  0.012632,  0.005424,  0.013347,  0.005424,  0.007457,  0.007288,  0.007285,  0.007928,  0.012808,  0.021586,  0.007288,  0.008254,  0.009556,  0.008932,  0.012095,  0.002971,  0.015066,  0.012209,  0.002971
17,  0.006255,  0.006602,  0.006255,  0.009267,  0.006602,  0.012379,  0.009608,  0.013062,  0.008698,  0.011709,  0.008698,  0.014330,  0.013833,  0.009267,  0.014330,  0.009150,  0.007212,  0.006953,  0.009150,  0.007212,  0.003762,  0.020246,  0.013833,  0.003762,  0.014606,  0.014704,  0.026462,  0.029413,  0.050720,  0.014046,  0.012925,  0.029780,  0.014719,  0.016134,  0.008941,  0.014720,  0.011263,  0.010847,  0.015461,  0.019593,  0.010081,  0.009161,  0.021201,  0.010928,  0.019561,  0.022175,  0.020246,  0.051085,  0.010875,  0.011393,  0.018874,  0.010875,  0.011698,  0.006953,  0.011487,  0.013699,  0.017588,  0.012966,  0.005565,  0.013699,  0.005565,  0.007652,  0.007478,  0.007476,  0.008469,  0.012628,  0.020604,  0.007478,  0.008137,  0.012421,  0.011762,  0.009800,  0.003048,  0.014764,  0.013048,  0.003048
18,  0.006092,  0.006430,  0.006092,  0.009027,  0.006430,  0.012731,  0.008710,  0.012731,  0.008474,  0.012410,  0.008474,  0.013961,  0.013483,  0.009027,  0.013961,  0.008912,  0.007024,  0.006772,  0.008912,  0.007024,  0.003663,  0.019728,  0.013483,  0.003663,  0.014226,  0.014322,  0.029380,  0.020498,  0.075810,  0.000000,  0.012595,  0.025432,  0.014331,  0.019084,  0.008710,  0.014332,  0.010474,  0.010565,  0.014382,  0.016428,  0.010647,  0.011452,  0.024835,  0.010646,  0.017150,  0.019554,  0.019728,  0.076190,  0.015445,  0.011098,  0.000000,  0.015445,  0.012625,  0.006772,  0.011189,  0.013346,  0.017135,  0.012632,  0.005420,  0.013346,  0.005420,  0.007453,  0.007284,  0.007281,  0.007924,  0.012301,  0.021595,  0.007284,  0.007925,  0.009552,  0.008930,  0.012091,  0.002968,  0.014383,  0.012208,  0.002968
19,  0.006251,  0.006599,  0.006251,  0.009263,  0.006599,  0.011696,  0.008939,  0.012384,  0.008028,  0.012740,  0.008697,  0.014331,  0.012114,  0.009263,  0.014331,  0.009145,  0.007208,  0.006949,  0.009145,  0.007208,  0.003759,  0.020250,  0.013845,  0.003759,  0.014599,  0.015754,  0.026469,  0.025331,  0.050727,  0.018878,  0.011895,  0.028017,  0.014701,  0.016856,  0.008269,  0.016827,  0.010748,  0.011354,  0.014761,  0.016139,  0.010928,  0.009160,  0.029637,  0.010076,  0.017601,  0.022730,  0.020250,  0.051093,  0.010868,  0.011390,  0.014081,  0.010868,  0.012959,  0.006949,  0.011483,  0.013698,  0.019560,  0.011699,  0.005562,  0.013698,  0.005562,  0.007649,  0.007474,  0.007472,  0.008132,  0.013143,  0.022176,  0.007474,  0.008466,  0.012417,  0.009161,  0.012416,  0.003046,  0.015464,  0.012529,  0.003046
20,  0.006089,  0.006427,  0.006089,  0.009023,  0.006427,  0.012733,  0.007402,  0.011396,  0.008470,  0.012414,  0.007821,  0.013962,  0.013482,  0.009023,  0.013962,  0.008908,  0.007021,  0.006768,  0.008908,  0.007021,  0.003661,  0.019731,  0.011806,  0.003661,  0.015248,  0.014322,  0.027660,  0.024696,  0.075836,  0.000000,  0.012593,  0.029027,  0.016385,  0.016417,  0.008706,  0.014328,  0.010469,  0.010562,  0.014380,  0.019090,  0.010646,  0.008919,  0.020700,  0.010641,  0.017147,  0.021623,  0.019731,  0.076217,  0.015438,  0.011094,  0.000000,  0.015438,  0.012626,  0.006768,  0.011186,  0.013344,  0.017147,  0.012626,  0.005417,  0.013344,  0.005417,  0.007450,  0.007280,  0.007278,  0.007920,  0.012300,  0.019553,  0.007280,  0.007921,  0.012102,  0.011452,  0.009548,  0.002966,  0.014384,  0.012204,  0.002966
21,  0.006166,  0.006508,  0.006166,  0.009138,  0.006508,  0.010864,  0.009477,  0.012897,  0.007919,  0.011556,  0.008579,  0.014142,  0.011953,  0.009138,  0.014142,  0.009021,  0.007110,  0.006854,  0.009021,  0.007110,  0.003708,  0.019986,  0.013661,  0.003708,  0.014406,  0.015546,  0.029770,  0.020764,  0.076972,  0.000000,  0.012757,  0.027671,  0.014504,  0.018628,  0.007495,  0.016602,  0.011107,  0.010696,  0.015257,  0.016637,  0.009942,  0.011593,  0.025209,  0.010778,  0.017366,  0.019818,  0.019986,  0.050424,  0.015649,  0.011236,  0.018670,  0.010719,  0.012789,  0.006854,  0.011328,  0.013516,  0.017366,  0.012789,  0.005486,  0.013516,  0.005486,  0.007545,  0.007373,  0.007370,  0.008350,  0.012457,  0.022430,  0.007373,  0.008022,  0.009675,  0.009039,  0.012249,  0.003004,  0.014568,  0.012871,  0.003004
